date,machine_id,shift,product_type,units_produced,defective_units,downtime_minutes,production_time_minutes,operator_id,factory_location
05-01-24,MCH005,Morning,Bearing,688,9,27,480,OP109,Aurangabad
05-01-24,MCH005,Evening,Shaft,689,24,35,450,OP109,Nashik
05-01-24,MCH005,Night,Nut,495,5,9,500,OP112,Mumbai
06-01-24,MCH001,Morning,Shaft,559,24,28,480,OP111,Nashik
06-01-24,MCH001,Evening,Bearing,432,5,55,450,OP110,Aurangabad
06-01-24,MCH001,Night,Bolt,464,5,44,500,OP109,Aurangabad
06-01-24,MCH002,Morning,Shaft,684,17,16,480,OP113,Nagpur
06-01-24,MCH002,Evening,Shaft,641,7,27,450,OP116,Nagpur
06-01-24,MCH002,Night,Nut,489,6,55,500,OP108,Mumbai
06-01-24,MCH003,Morning,Gear,513,17,15,480,OP103,Nagpur
06-01-24,MCH003,Evening,Gear,648,8,14,450,OP104,Nashik
06-01-24,MCH003,Night,Shaft,576,7,52,500,OP103,Pune
06-01-24,MCH004,Morning,Bearing,495,9,16,480,OP116,Pune
06-01-24,MCH004,Evening,Gear,685,21,53,450,OP119,Nagpur
06-01-24,MCH004,Night,Nut,586,23,53,500,OP103,Nagpur
06-01-24,MCH005,Morning,Nut,632,23,16,480,OP108,Aurangabad
06-01-24,MCH005,Evening,Gear,543,9,39,450,OP111,Aurangabad
06-01-24,MCH005,Night,Bearing,452,20,43,500,OP112,Mumbai
07-01-24,MCH001,Morning,Bolt,585,11,18,480,OP104,Nagpur
07-01-24,MCH001,Evening,Nut,634,15,22,450,OP114,Pune
07-01-24,MCH001,Night,Bearing,473,16,21,500,OP105,Mumbai
07-01-24,MCH002,Morning,Bolt,682,6,9,480,OP104,Nagpur
07-01-24,MCH002,Evening,Nut,544,11,29,450,OP112,Aurangabad
07-01-24,MCH002,Night,Bolt,469,23,48,500,OP106,Mumbai
07-01-24,MCH003,Morning,Bearing,418,11,7,480,OP112,Mumbai
07-01-24,MCH003,Evening,Bearing,619,24,32,450,OP107,Pune
07-01-24,MCH003,Night,Gear,400,7,17,500,OP116,Pune
07-01-24,MCH004,Morning,Bearing,516,10,48,480,OP112,Nagpur
07-01-24,MCH004,Evening,Nut,548,20,58,450,OP110,Nagpur
07-01-24,MCH004,Night,Gear,563,7,23,500,OP119,Mumbai
07-01-24,MCH005,Morning,Gear,446,13,53,480,OP113,Nagpur
07-01-24,MCH005,Evening,Nut,453,7,20,450,OP110,Mumbai
07-01-24,MCH005,Night,Nut,623,20,12,500,OP105,Aurangabad
08-01-24,MCH001,Morning,Shaft,407,8,30,480,OP107,Aurangabad
08-01-24,MCH001,Evening,Bolt,577,9,45,450,OP103,Pune
08-01-24,MCH001,Night,Bearing,600,5,57,500,OP119,Aurangabad
08-01-24,MCH002,Morning,Bearing,639,17,50,480,OP102,Mumbai
08-01-24,MCH002,Evening,Shaft,655,9,51,450,OP101,Mumbai
08-01-24,MCH002,Night,Gear,650,17,9,500,OP100,Mumbai
08-01-24,MCH003,Morning,Bearing,623,19,53,480,OP110,Mumbai
08-01-24,MCH003,Evening,Shaft,462,21,17,450,OP100,Pune
08-01-24,MCH003,Night,Nut,498,5,25,500,OP115,Pune
08-01-24,MCH004,Morning,Bearing,596,9,42,480,OP102,Nagpur
08-01-24,MCH004,Evening,Bolt,452,9,14,450,OP109,Pune
08-01-24,MCH004,Night,Gear,484,18,13,500,OP113,Nashik
08-01-24,MCH005,Morning,Gear,572,17,8,480,OP100,Mumbai
08-01-24,MCH005,Evening,Bolt,494,12,43,450,OP101,Nashik
08-01-24,MCH005,Night,Bearing,667,5,58,500,OP111,Nashik
09-01-24,MCH001,Morning,Bearing,511,19,27,480,OP114,Nagpur
09-01-24,MCH001,Evening,Nut,465,15,55,450,OP106,Mumbai
09-01-24,MCH001,Night,Bolt,693,22,38,500,OP117,Nashik
09-01-24,MCH002,Morning,Nut,648,10,37,480,OP114,Mumbai
09-01-24,MCH002,Evening,Shaft,450,21,9,450,OP103,Pune
09-01-24,MCH002,Night,Shaft,672,24,28,500,OP104,Nagpur
09-01-24,MCH003,Morning,Bolt,604,15,47,480,OP115,Nashik
09-01-24,MCH003,Evening,Nut,510,20,35,450,OP110,Aurangabad
09-01-24,MCH003,Night,Bolt,583,7,36,500,OP102,Nagpur
09-01-24,MCH004,Morning,Bearing,559,22,55,480,OP118,Nagpur
09-01-24,MCH004,Evening,Gear,491,14,26,450,OP105,Nagpur
09-01-24,MCH004,Night,Shaft,632,16,30,500,OP113,Pune
09-01-24,MCH005,Morning,Shaft,477,17,31,480,OP108,Pune
09-01-24,MCH005,Evening,Bearing,446,19,34,450,OP110,Pune
09-01-24,MCH005,Night,Gear,425,8,5,500,OP107,Nashik
10-01-24,MCH001,Morning,Shaft,652,24,19,480,OP114,Aurangabad
10-01-24,MCH001,Evening,Bolt,477,6,49,450,OP113,Nashik
10-01-24,MCH001,Night,Bolt,406,7,51,500,OP113,Aurangabad
10-01-24,MCH002,Morning,Gear,673,10,39,480,OP118,Nagpur
10-01-24,MCH002,Evening,Shaft,427,14,43,450,OP116,Aurangabad
10-01-24,MCH002,Night,Gear,424,21,17,500,OP119,Aurangabad
10-01-24,MCH003,Morning,Nut,466,13,49,480,OP117,Mumbai
10-01-24,MCH003,Evening,Nut,510,12,44,450,OP116,Nashik
10-01-24,MCH003,Night,Nut,441,13,41,500,OP105,Mumbai
10-01-24,MCH004,Morning,Gear,625,17,10,480,OP104,Pune
10-01-24,MCH004,Evening,Nut,549,10,10,450,OP115,Nashik
10-01-24,MCH004,Night,Bolt,494,13,59,500,OP102,Nagpur
10-01-24,MCH005,Morning,Nut,435,10,6,480,OP119,Nashik
10-01-24,MCH005,Evening,Bolt,403,19,10,450,OP116,Pune
10-01-24,MCH005,Night,Shaft,593,19,15,500,OP107,Nashik
11-01-24,MCH001,Morning,Shaft,572,16,9,480,OP105,Aurangabad
11-01-24,MCH001,Evening,Gear,674,24,37,450,OP119,Aurangabad
11-01-24,MCH001,Night,Bearing,446,5,30,500,OP113,Nashik
11-01-24,MCH002,Morning,Shaft,658,5,10,480,OP117,Nagpur
11-01-24,MCH002,Evening,Shaft,537,16,6,450,OP112,Aurangabad
11-01-24,MCH002,Night,Bolt,500,13,21,500,OP108,Nashik
11-01-24,MCH003,Morning,Shaft,493,21,9,480,OP111,Nagpur
11-01-24,MCH003,Evening,Bolt,536,6,16,450,OP102,Pune
11-01-24,MCH003,Night,Bearing,695,12,15,500,OP108,Aurangabad
11-01-24,MCH004,Morning,Bearing,685,7,25,480,OP104,Nashik
11-01-24,MCH004,Evening,Shaft,477,8,29,450,OP112,Pune
11-01-24,MCH004,Night,Bolt,695,12,43,500,OP107,Nagpur
11-01-24,MCH005,Morning,Gear,422,19,37,480,OP116,Mumbai
11-01-24,MCH005,Evening,Bolt,503,12,55,450,OP106,Nashik
11-01-24,MCH005,Night,Bearing,578,12,46,500,OP119,Pune
12-01-24,MCH001,Morning,Gear,630,8,33,480,OP105,Pune
12-01-24,MCH001,Evening,Shaft,688,8,26,450,OP101,Nagpur
12-01-24,MCH001,Night,Bearing,522,14,37,500,OP105,Aurangabad
12-01-24,MCH002,Morning,Bearing,615,24,19,480,OP107,Nagpur
12-01-24,MCH002,Evening,Shaft,446,8,16,450,OP112,Nashik
12-01-24,MCH002,Night,Nut,494,23,55,500,OP103,Mumbai
12-01-24,MCH003,Morning,Shaft,698,9,24,480,OP110,Mumbai
12-01-24,MCH003,Evening,Gear,617,17,44,450,OP117,Pune
12-01-24,MCH003,Night,Nut,510,12,47,500,OP111,Aurangabad
12-01-24,MCH004,Morning,Gear,532,9,12,480,OP109,Aurangabad
12-01-24,MCH004,Evening,Bearing,686,13,58,450,OP118,Pune
12-01-24,MCH004,Night,Bearing,613,15,27,500,OP100,Nagpur
12-01-24,MCH005,Morning,Bolt,509,8,58,480,OP100,Nagpur
12-01-24,MCH005,Evening,Bolt,536,14,56,450,OP108,Aurangabad
12-01-24,MCH005,Night,Shaft,424,15,42,500,OP101,Nashik
13-01-24,MCH001,Morning,Gear,416,15,48,480,OP118,Aurangabad
13-01-24,MCH001,Evening,Shaft,597,5,53,450,OP110,Aurangabad
13-01-24,MCH001,Night,Gear,448,11,21,500,OP119,Pune
13-01-24,MCH002,Morning,Gear,547,12,53,480,OP106,Nagpur
13-01-24,MCH002,Evening,Bearing,614,23,23,450,OP116,Nagpur
13-01-24,MCH002,Night,Shaft,685,20,44,500,OP118,Pune
13-01-24,MCH003,Morning,Shaft,477,23,51,480,OP117,Aurangabad
13-01-24,MCH003,Evening,Bolt,512,22,34,450,OP105,Aurangabad
13-01-24,MCH003,Night,Shaft,663,11,7,500,OP109,Nashik
13-01-24,MCH004,Morning,Bearing,561,5,27,480,OP117,Pune
13-01-24,MCH004,Evening,Gear,646,7,28,450,OP107,Nagpur
13-01-24,MCH004,Night,Shaft,466,23,37,500,OP114,Nashik
13-01-24,MCH005,Morning,Bolt,495,18,36,480,OP113,Aurangabad
13-01-24,MCH005,Evening,Shaft,564,18,35,450,OP115,Mumbai
13-01-24,MCH005,Night,Bearing,662,5,27,500,OP118,Nashik
14-01-24,MCH001,Morning,Bearing,435,22,6,480,OP100,Aurangabad
14-01-24,MCH001,Evening,Nut,410,14,6,450,OP102,Aurangabad
14-01-24,MCH001,Night,Shaft,660,9,42,500,OP108,Nagpur
14-01-24,MCH002,Morning,Gear,679,21,14,480,OP113,Mumbai
14-01-24,MCH002,Evening,Shaft,514,21,18,450,OP108,Nagpur
14-01-24,MCH002,Night,Nut,680,11,13,500,OP110,Mumbai
14-01-24,MCH003,Morning,Bolt,428,17,38,480,OP104,Mumbai
14-01-24,MCH003,Evening,Shaft,527,14,40,450,OP108,Pune
14-01-24,MCH003,Night,Bearing,564,10,16,500,OP109,Nashik
14-01-24,MCH004,Morning,Shaft,686,10,31,480,OP107,Aurangabad
14-01-24,MCH004,Evening,Gear,636,11,14,450,OP112,Mumbai
14-01-24,MCH004,Night,Gear,589,18,6,500,OP110,Nashik
14-01-24,MCH005,Morning,Bolt,580,8,55,480,OP110,Aurangabad
14-01-24,MCH005,Evening,Shaft,512,11,44,450,OP102,Nagpur
14-01-24,MCH005,Night,Bolt,688,8,51,500,OP119,Nashik
15-01-24,MCH001,Morning,Bolt,643,15,21,480,OP112,Mumbai
15-01-24,MCH001,Evening,Gear,600,6,57,450,OP108,Pune
15-01-24,MCH001,Night,Gear,528,15,44,500,OP109,Nashik
15-01-24,MCH002,Morning,Nut,530,22,41,480,OP111,Nashik
15-01-24,MCH002,Evening,Bearing,501,6,16,450,OP118,Aurangabad
15-01-24,MCH002,Night,Nut,416,14,59,500,OP116,Nashik
15-01-24,MCH003,Morning,Gear,663,21,27,480,OP104,Mumbai
15-01-24,MCH003,Evening,Bearing,488,16,19,450,OP108,Mumbai
15-01-24,MCH003,Night,Gear,446,14,20,500,OP106,Mumbai
15-01-24,MCH004,Morning,Bearing,485,11,18,480,OP114,Pune
15-01-24,MCH004,Evening,Nut,575,12,54,450,OP117,Nashik
15-01-24,MCH004,Night,Nut,502,21,18,500,OP102,Aurangabad
15-01-24,MCH005,Morning,Shaft,497,7,41,480,OP110,Aurangabad
15-01-24,MCH005,Evening,Bearing,438,19,53,450,OP103,Pune
15-01-24,MCH005,Night,Shaft,609,5,20,500,OP112,Aurangabad
16-01-24,MCH001,Morning,Bearing,626,14,38,480,OP112,Mumbai
16-01-24,MCH001,Evening,Nut,495,7,43,450,OP113,Nagpur
16-01-24,MCH001,Night,Gear,644,16,20,500,OP111,Mumbai
16-01-24,MCH002,Morning,Shaft,464,21,7,480,OP112,Aurangabad
16-01-24,MCH002,Evening,Gear,545,9,29,450,OP115,Nagpur
16-01-24,MCH002,Night,Nut,472,19,53,500,OP103,Nashik
16-01-24,MCH003,Morning,Bolt,692,9,47,480,OP105,Nagpur
16-01-24,MCH003,Evening,Bolt,625,11,56,450,OP103,Aurangabad
16-01-24,MCH003,Night,Shaft,462,23,49,500,OP113,Nashik
16-01-24,MCH004,Morning,Bearing,625,13,53,480,OP102,Nagpur
16-01-24,MCH004,Evening,Gear,453,19,27,450,OP116,Nashik
16-01-24,MCH004,Night,Shaft,419,21,46,500,OP102,Mumbai
16-01-24,MCH005,Morning,Bolt,461,21,28,480,OP102,Nagpur
16-01-24,MCH005,Evening,Nut,519,19,29,450,OP108,Nagpur
16-01-24,MCH005,Night,Bolt,497,15,45,500,OP102,Aurangabad
17-01-24,MCH001,Morning,Nut,428,13,7,480,OP101,Mumbai
17-01-24,MCH001,Evening,Bolt,408,19,44,450,OP104,Nashik
17-01-24,MCH001,Night,Bolt,625,19,42,500,OP107,Nagpur
17-01-24,MCH002,Morning,Nut,575,22,10,480,OP104,Nagpur
17-01-24,MCH002,Evening,Shaft,683,9,17,450,OP116,Nagpur
17-01-24,MCH002,Night,Shaft,623,23,7,500,OP107,Nashik
17-01-24,MCH003,Morning,Nut,636,5,10,480,OP118,Pune
17-01-24,MCH003,Evening,Bolt,458,20,45,450,OP112,Nagpur
17-01-24,MCH003,Night,Nut,580,14,40,500,OP105,Nagpur
17-01-24,MCH004,Morning,Shaft,634,17,55,480,OP109,Nashik
17-01-24,MCH004,Evening,Nut,557,11,35,450,OP117,Mumbai
17-01-24,MCH004,Night,Shaft,605,17,33,500,OP111,Nagpur
17-01-24,MCH005,Morning,Shaft,445,21,45,480,OP116,Aurangabad
17-01-24,MCH005,Evening,Shaft,562,20,10,450,OP118,Pune
17-01-24,MCH005,Night,Bearing,623,6,32,500,OP114,Nagpur
18-01-24,MCH001,Morning,Shaft,677,8,24,480,OP103,Aurangabad
18-01-24,MCH001,Evening,Shaft,618,21,16,450,OP116,Pune
18-01-24,MCH001,Night,Bearing,421,22,54,500,OP113,Aurangabad
18-01-24,MCH002,Morning,Bearing,563,7,56,480,OP111,Nashik
18-01-24,MCH002,Evening,Bolt,432,10,51,450,OP114,Nashik
18-01-24,MCH002,Night,Bearing,457,6,50,500,OP101,Aurangabad
18-01-24,MCH003,Morning,Bearing,498,17,45,480,OP106,Nagpur
18-01-24,MCH003,Evening,Nut,474,24,36,450,OP101,Nashik
18-01-24,MCH003,Night,Nut,426,7,21,500,OP111,Nagpur
18-01-24,MCH004,Morning,Bolt,420,19,20,480,OP104,Aurangabad
18-01-24,MCH004,Evening,Bolt,661,23,9,450,OP102,Pune
18-01-24,MCH004,Night,Bearing,457,10,19,500,OP101,Nashik
18-01-24,MCH005,Morning,Nut,680,16,22,480,OP114,Nashik
18-01-24,MCH005,Evening,Bearing,471,18,29,450,OP116,Nagpur
18-01-24,MCH005,Night,Shaft,407,19,31,500,OP113,Aurangabad
19-01-24,MCH001,Morning,Bearing,598,7,33,480,OP111,Aurangabad
19-01-24,MCH001,Evening,Gear,445,19,29,450,OP113,Aurangabad
19-01-24,MCH001,Night,Gear,627,13,42,500,OP115,Aurangabad
19-01-24,MCH002,Morning,Bolt,613,6,28,480,OP107,Nagpur
19-01-24,MCH002,Evening,Shaft,608,12,25,450,OP117,Nashik
19-01-24,MCH002,Night,Bolt,616,5,42,500,OP108,Nashik
19-01-24,MCH003,Morning,Gear,487,13,21,480,OP111,Aurangabad
19-01-24,MCH003,Evening,Shaft,547,5,14,450,OP107,Aurangabad
19-01-24,MCH003,Night,Bearing,401,5,37,500,OP108,Pune
19-01-24,MCH004,Morning,Shaft,476,24,30,480,OP106,Mumbai
19-01-24,MCH004,Evening,Shaft,573,22,19,450,OP101,Aurangabad
19-01-24,MCH004,Night,Gear,522,10,13,500,OP105,Pune
19-01-24,MCH005,Morning,Nut,603,12,12,480,OP117,Aurangabad
19-01-24,MCH005,Evening,Nut,510,11,15,450,OP119,Mumbai
19-01-24,MCH005,Night,Bolt,421,7,45,500,OP109,Mumbai
20-01-24,MCH001,Morning,Bolt,411,16,17,480,OP112,Mumbai
20-01-24,MCH001,Evening,Bearing,546,18,40,450,OP112,Nagpur
20-01-24,MCH001,Night,Shaft,582,23,48,500,OP117,Nashik
20-01-24,MCH002,Morning,Bolt,549,9,36,480,OP108,Nashik
20-01-24,MCH002,Evening,Gear,601,23,39,450,OP114,Aurangabad
20-01-24,MCH002,Night,Nut,612,24,41,500,OP103,Aurangabad
20-01-24,MCH003,Morning,Gear,419,22,53,480,OP118,Aurangabad
20-01-24,MCH003,Evening,Shaft,649,6,40,450,OP101,Aurangabad
20-01-24,MCH003,Night,Bolt,661,11,46,500,OP118,Mumbai
20-01-24,MCH004,Morning,Shaft,645,16,7,480,OP112,Nagpur
20-01-24,MCH004,Evening,Nut,624,7,30,450,OP107,Mumbai
20-01-24,MCH004,Night,Bearing,413,18,6,500,OP104,Nagpur
20-01-24,MCH005,Morning,Gear,440,19,18,480,OP106,Aurangabad
20-01-24,MCH005,Evening,Bolt,529,11,10,450,OP116,Pune
20-01-24,MCH005,Night,Bearing,427,6,39,500,OP104,Pune
21-01-24,MCH001,Morning,Bolt,563,17,27,480,OP114,Mumbai
21-01-24,MCH001,Evening,Bearing,594,18,20,450,OP109,Mumbai
21-01-24,MCH001,Night,Bolt,656,9,24,500,OP107,Aurangabad
21-01-24,MCH002,Morning,Bearing,400,24,32,480,OP110,Nagpur
21-01-24,MCH002,Evening,Nut,603,9,53,450,OP116,Aurangabad
21-01-24,MCH002,Night,Shaft,606,10,48,500,OP119,Mumbai
21-01-24,MCH003,Morning,Bolt,692,24,30,480,OP100,Nagpur
21-01-24,MCH003,Evening,Bolt,644,9,37,450,OP116,Aurangabad
21-01-24,MCH003,Night,Shaft,675,22,28,500,OP110,Pune
21-01-24,MCH004,Morning,Bolt,684,11,35,480,OP114,Mumbai
21-01-24,MCH004,Evening,Nut,693,24,27,450,OP112,Mumbai
21-01-24,MCH004,Night,Bearing,633,12,54,500,OP100,Nagpur
21-01-24,MCH005,Morning,Shaft,485,19,38,480,OP100,Nashik
21-01-24,MCH005,Evening,Gear,513,22,21,450,OP107,Aurangabad
21-01-24,MCH005,Night,Bearing,688,5,23,500,OP115,Nagpur
22-01-24,MCH001,Morning,Gear,489,6,54,480,OP105,Pune
22-01-24,MCH001,Evening,Bearing,568,20,17,450,OP108,Nagpur
22-01-24,MCH001,Night,Shaft,558,13,15,500,OP103,Nagpur
22-01-24,MCH002,Morning,Bolt,501,18,8,480,OP105,Mumbai
22-01-24,MCH002,Evening,Bearing,481,17,45,450,OP118,Nashik
22-01-24,MCH002,Night,Gear,528,11,29,500,OP114,Aurangabad
22-01-24,MCH003,Morning,Nut,598,19,25,480,OP118,Nagpur
22-01-24,MCH003,Evening,Shaft,623,21,39,450,OP111,Nashik
22-01-24,MCH003,Night,Gear,509,18,14,500,OP101,Nashik
22-01-24,MCH004,Morning,Nut,484,12,52,480,OP101,Nagpur
22-01-24,MCH004,Evening,Bearing,620,16,9,450,OP101,Aurangabad
22-01-24,MCH004,Night,Shaft,627,19,47,500,OP115,Aurangabad
22-01-24,MCH005,Morning,Bearing,420,15,59,480,OP115,Aurangabad
22-01-24,MCH005,Evening,Nut,680,8,15,450,OP118,Nagpur
22-01-24,MCH005,Night,Bearing,540,23,38,500,OP113,Aurangabad
23-01-24,MCH001,Morning,Nut,451,18,31,480,OP114,Nashik
23-01-24,MCH001,Evening,Shaft,535,20,46,450,OP103,Mumbai
23-01-24,MCH001,Night,Nut,476,8,30,500,OP110,Mumbai
23-01-24,MCH002,Morning,Gear,438,17,35,480,OP106,Mumbai
23-01-24,MCH002,Evening,Gear,697,8,24,450,OP103,Aurangabad
23-01-24,MCH002,Night,Bearing,572,14,51,500,OP112,Aurangabad
23-01-24,MCH003,Morning,Shaft,425,13,19,480,OP109,Pune
23-01-24,MCH003,Evening,Gear,524,14,12,450,OP115,Mumbai
23-01-24,MCH003,Night,Nut,692,8,54,500,OP118,Aurangabad
23-01-24,MCH004,Morning,Bolt,566,14,29,480,OP117,Aurangabad
23-01-24,MCH004,Evening,Bolt,641,9,51,450,OP116,Aurangabad
23-01-24,MCH004,Night,Bearing,625,5,59,500,OP116,Nashik
23-01-24,MCH005,Morning,Bearing,559,15,14,480,OP108,Nagpur
23-01-24,MCH005,Evening,Bearing,653,6,39,450,OP106,Mumbai
23-01-24,MCH005,Night,Bolt,441,11,45,500,OP116,Aurangabad
24-01-24,MCH001,Morning,Shaft,418,8,30,480,OP105,Nagpur
24-01-24,MCH001,Evening,Nut,435,12,41,450,OP100,Nashik
24-01-24,MCH001,Night,Gear,472,12,37,500,OP105,Aurangabad
24-01-24,MCH002,Morning,Nut,668,21,6,480,OP104,Nashik
24-01-24,MCH002,Evening,Shaft,559,12,42,450,OP107,Nashik
24-01-24,MCH002,Night,Shaft,699,7,26,500,OP105,Aurangabad
24-01-24,MCH003,Morning,Shaft,657,10,21,480,OP102,Aurangabad
24-01-24,MCH003,Evening,Bearing,663,16,40,450,OP104,Nagpur
24-01-24,MCH003,Night,Shaft,686,19,59,500,OP115,Pune
24-01-24,MCH004,Morning,Nut,454,20,16,480,OP116,Aurangabad
24-01-24,MCH004,Evening,Nut,402,20,34,450,OP112,Nashik
24-01-24,MCH004,Night,Nut,503,9,24,500,OP107,Pune
24-01-24,MCH005,Morning,Gear,520,24,10,480,OP117,Nagpur
24-01-24,MCH005,Evening,Shaft,671,16,42,450,OP119,Nagpur
24-01-24,MCH005,Night,Bearing,541,8,37,500,OP117,Mumbai
25-01-24,MCH001,Morning,Bolt,657,13,5,480,OP110,Aurangabad
25-01-24,MCH001,Evening,Bolt,589,8,22,450,OP105,Nashik
25-01-24,MCH001,Night,Nut,542,9,56,500,OP109,Pune
25-01-24,MCH002,Morning,Bolt,441,10,22,480,OP112,Mumbai
25-01-24,MCH002,Evening,Nut,557,18,10,450,OP102,Pune
25-01-24,MCH002,Night,Bolt,562,6,31,500,OP101,Mumbai
25-01-24,MCH003,Morning,Gear,605,24,22,480,OP109,Mumbai
25-01-24,MCH003,Evening,Gear,680,5,40,450,OP113,Nagpur
25-01-24,MCH003,Night,Bearing,424,17,57,500,OP101,Mumbai
25-01-24,MCH004,Morning,Nut,424,19,8,480,OP112,Aurangabad
25-01-24,MCH004,Evening,Nut,687,17,35,450,OP113,Mumbai
25-01-24,MCH004,Night,Bolt,559,15,6,500,OP118,Nagpur
25-01-24,MCH005,Morning,Bearing,665,6,15,480,OP117,Pune
25-01-24,MCH005,Evening,Nut,482,13,39,450,OP108,Nashik
25-01-24,MCH005,Night,Nut,662,20,20,500,OP100,Aurangabad
